EUFDNAME;COMPUNIT;CMPCLASS;CMPCLASSP
ENERC;KJ;ENERGY;MACROCMP
FAT;G;TOTALFAT;MACROCMP
CHOAVL;G;TOTALCAR;MACROCMP
CHOCDF;G;TOTALCAR;MACROCMP
PROT;G;PROTEIN;MACROCMP
ASH;G;ASH;MACROCMP
WATER;G;WATER;MACROCMP
SUGAR;G;SUGAR;CARBOCMP
LACS;G;SUGAR;CARBOCMP
SUCS;G;SUGAR;CARBOCMP
STARCH;G;STARCH;CARBOCMP
FIBC;G;FIBRE;CARBOCMP
FOL;UG;WSVITAM;VITAM
NIAEQ;MG;WSVITAM;VITAM
VITPYRID;MG;WSVITAM;VITAM
RIBF;MG;WSVITAM;VITAM
THIA;MG;WSVITAM;VITAM
VITA;UG;FSVITAM;VITAM
VITB12;UG;WSVITAM;VITAM
VITC;MG;WSVITAM;VITAM
VITD;UG;FSVITAM;VITAM
VITE;MG;FSVITAM;VITAM
CA;MG;MACROELM;MINERAL
CU;MG;TRACEELM;MINERAL
FE;MG;TRACEELM;MINERAL
ID;UG;TRACEELM;MINERAL
K;MG;MACROELM;MINERAL
MG;MG;MACROELM;MINERAL
NA;MG;MACROELM;MINERAL
NT;G;NITROGEN;NITROCMP
P;MG;MACROELM;MINERAL
SE;UG;TRACEELM;MINERAL
ZN;MG;TRACEELM;MINERAL
FACIDCTG;G;TRIGLYSE;FAT
FAPU;G;FATACID;FAT
FAMCIS;G;FATACID;FAT
FASAT;G;FATACID;FAT
FATRN;G;FATACID;FAT
F18D2CN6;MG;FATACID;FAT
CHOLE;MG;STEROL;FAT
