FOODID;EUFDNAME;BESTLOC;ACQTYPE;METHTYPE;METHIND
1;ENERC;1698,30;S;S;MI0107
1;FAT;0;F;E;MIR003
1;CHOAVL;99,900;S;S;MI0181
1;CHOCDF;99,880;S;S;MI0131
1;PROT;0;L;P;MIR003
1;ASH;0,020;D;AG;MI1018
1;WATER;0,10;F;E;MIR003
1;SUGAR;99,900;S;S;MI0151
1;LACS;0;S;U;MIR003
1;SUCS;99,900;S;CG;MIR002
1;STARCH;0;S;U;MIR003
1;FIBC;0;S;U;MIR003
1;FOL;0;F;E;MIR003
1;NIAEQ;0;F;E;MIR003
1;VITPYRID;0;S;S;MIR005
1;RIBF;0;F;E;MIR003
1;THIA;0;F;E;MIR003
1;VITA;0;S;S;MI0324
1;VITB12;0;F;E;MIR003
1;VITC;0;F;E;MIR003
1;VITD;0;F;E;MIR003
1;VITE;0;S;S;MI0368
1;CA;0,40;F;E;MIR003
1;CU;0,0100;F;E;MIR003
1;FE;0,060;F;E;MIR003
1;ID;5,00;F;E;MIR003
1;K;2,00;F;E;MIR003
1;MG;0,100;F;E;MIR003
1;NA;0,10;F;E;MIR003
1;NT;0;S;U;MIR007
1;P;0,1;F;E;MIR003
1;SE;0,500;D;AG;MI1006
1;ZN;0,010;F;E;MIR003
1;FACIDCTG;0;S;S;MIR005
1;FAPU;0;S;S;MI0213
1;FAMCIS;0;S;S;MI0210
1;FASAT;0;S;S;MI0209
1;FATRN;0;S;S;MIR006
1;F18D2CN6;0;S;U;MIR003
1;CHOLE;0;S;IG;MIR003
2;ENERC;1696,60;S;S;MI0107
2;FAT;0;F;E;MIR003
2;CHOAVL;99,800;S;S;MI0181
2;CHOCDF;99,700;S;S;MI0131
2;PROT;0;S;S;MI0123
2;ASH;0;F;E;MIR003
2;WATER;0,30;S;I;MIR003
2;SUGAR;99,800;S;S;MI0151
2;LACS;0;S;U;MIR003
2;SUCS;0;S;U;MIR003
2;STARCH;0;S;U;MIR003
2;FIBC;0;S;U;MIR003
2;FOL;0;F;E;MIR003
2;NIAEQ;0;F;E;MIR003
2;VITPYRID;0;S;S;MIR005
2;RIBF;0;F;E;MIR003
2;THIA;0;F;E;MIR003
2;VITA;0;S;S;MI0324
2;VITB12;0;F;E;MIR003
2;VITC;0;F;E;MIR003
2;VITD;0;F;E;MIR003
2;VITE;0;S;S;MI0368
2;CA;0,10;F;E;MIR003
2;CU;0,0100;F;E;MIR003
2;FE;0,070;F;E;MIR003
2;ID;5,00;F;E;MIR003
2;K;0,30;F;E;MIR003
2;MG;0;F;E;MIR003
2;NA;0,10;F;E;MIR003
2;NT;0;F;E;MIR007
2;P;0,1;F;E;MIR003
2;SE;0,500;D;AG;MI1006
2;ZN;0,010;F;E;MIR003
2;FACIDCTG;0;S;S;MIR005
2;FAPU;0;S;S;MI0213
2;FAMCIS;0;S;S;MI0210
2;FASAT;0;S;S;MI0209
2;FATRN;0;S;S;MIR006
2;F18D2CN6;0;S;U;MIR003
2;CHOLE;0;S;IG;MIR003
3;ENERC;1261,40;S;S;MI0107
3;FAT;0;F;E;MIR003
3;CHOAVL;74,100;S;S;MI0181
3;CHOCDF;79,300;S;S;MIR004
3;PROT;0,10;I;E;MIR003
3;ASH;1,100;D;AG;MI1018
3;WATER;19,50;I;E;MIR003
3;SUGAR;74,100;S;S;MI0151
3;LACS;0;S;U;MIR003
3;SUCS;28,200;I;E;MIR003
3;STARCH;0;S;U;MIR003
3;FIBC;0;S;U;MIR003
3;FOL;0;F;E;MIR003
3;NIAEQ;0;S;S;MI0421
3;VITPYRID;0;S;S;MIR005
3;RIBF;0,010;F;E;MIR003
3;THIA;0;F;E;MIR003
3;VITA;0;S;S;MI0324
3;VITB12;0;F;E;MIR003
3;VITC;0;F;E;MIR003
3;VITD;0;F;E;MIR003
3;VITE;0;S;S;MI0368
3;CA;74,00;F;E;MIR003
3;CU;0,2400;F;E;MIR003
3;FE;2,500;F;E;MIR003
3;ID;5,00;F;E;MIR003
3;K;220,00;F;E;MIR003
3;MG;34,000;F;E;MIR003
3;NA;50,00;I;E;MIR003
3;NT;0,016;L;P;MIR002
3;P;2,0;F;E;MIR003
3;SE;1,000;D;AG;MI1006
3;ZN;0,130;F;E;MIR003
3;FACIDCTG;0;S;S;MIR005
3;FAPU;0;S;S;MI0213
3;FAMCIS;0;S;S;MI0210
3;FASAT;0;S;S;MI0209
3;FATRN;0;S;S;MIR006
3;F18D2CN6;0;S;U;MIR003
3;CHOLE;0;S;IG;MIR003
4;ENERC;1382,10;S;S;MI0107
4;FAT;0;F;E;MIR003
4;CHOAVL;80,800;S;S;MI0181
4;CHOCDF;81,320;S;S;MIR004
4;PROT;0,50;S;S;MI0123
4;ASH;0,180;D;AG;MI1018
4;WATER;18,00;F;E;MIR003
4;SUGAR;80,800;S;S;MI0151
4;LACS;0;S;U;MIR003
4;SUCS;1,500;E;E;MIR003
4;STARCH;0;S;U;MIR003
4;FIBC;0;S;U;MIR003
4;FOL;0;F;E;MIR003
4;NIAEQ;0,200;S;S;MI0421
4;VITPYRID;0;S;S;MIR005
4;RIBF;0,040;F;E;MIR003
4;THIA;0,0100;F;E;MIR003
4;VITA;0;S;S;MI0324
4;VITB12;0;F;E;MIR003
4;VITC;4,00;F;E;MIR003
4;VITD;0;F;E;MIR003
4;VITE;0;S;S;MI0368
4;CA;5,00;F;E;MIR003
4;CU;0,0300;F;E;MIR003
4;FE;0,500;F;E;MIR003
4;ID;5,00;F;E;MIR003
4;K;60,00;F;E;MIR003
4;MG;3,000;F;E;MIR003
4;NA;2,20;F;E;MIR003
4;NT;0,080;F;E;MIR003
4;P;7,0;F;E;MIR003
4;SE;0,500;D;AG;MI1006
4;ZN;0,100;F;E;MIR003
4;FACIDCTG;0;S;S;MIR005
4;FAPU;0;S;S;MI0213
4;FAMCIS;0;S;S;MI0210
4;FASAT;0;S;S;MI0209
4;FATRN;0;S;S;MIR006
4;F18D2CN6;0;S;U;MIR003
4;CHOLE;0;S;IG;MIR003
5;ENERC;1487,50;S;S;MI0107
5;FAT;0;F;E;MIR003
5;CHOAVL;87,000;S;S;MI0181
5;CHOCDF;88,600;S;S;MI0131
5;PROT;0,5;S;I;MIR003
5;ASH;0,900;F;E;MIR003
5;WATER;10;S;CG;MIR003
5;SUGAR;53,500;S;S;MI0151
5;LACS;0;S;U;MIR003
5;SUCS;37,4;S;CG;MIR003
5;STARCH;33,50;S;IG;MIR003
5;FIBC;0;S;U;MIR003
5;FOL;0;F;E;MIR003
5;NIAEQ;0;F;E;MIR003
5;VITPYRID;0;S;S;MIR005
5;RIBF;0;F;E;MIR003
5;THIA;0;F;E;MIR003
5;VITA;0;S;S;MI0324
5;VITB12;0;F;E;MIR003
5;VITC;0;F;E;MIR003
5;VITD;0;F;E;MIR003
5;VITE;0;S;S;MI0368
5;CA;7,00;F;E;MIR003
5;CU;0,1750;F;E;MIR003
5;FE;1,450;F;E;MIR003
5;ID;12,00;F;E;MIR003
5;K;100,00;F;E;MIR003
5;MG;28,000;F;E;MIR003
5;NA;100,00;F;E;MIR003
5;NT;0,08;S;CG;MI1039
5;P;4,0;F;E;MIR003
5;SE;1,000;D;A;MI1006
5;ZN;0,290;F;E;MIR003
5;FACIDCTG;0;S;S;MIR005
5;FAPU;0;S;S;MI0213
5;FAMCIS;0;S;S;MI0210
5;FASAT;0;S;S;MI0209
5;FATRN;0;S;S;MIR006
5;F18D2CN6;0;S;U;MIR003
5;CHOLE;0;S;U;MIR003
6;ENERC;2270,15;S;R;MI0002
6;FAT;34,362;S;R;MI0002
6;CHOAVL;47,774;S;R;MI0002
6;CHOCDF;51,679;S;R;MI0002
6;PROT;9,58;S;R;MI0002
6;ASH;2,100;D;AG;MI1018
6;WATER;2,00;F;E;MIR003
6;SUGAR;45,772;S;R;MI0002
6;LACS;12,962;S;R;MI0002
6;SUCS;32,811;S;R;MI0002
6;STARCH;2,00;S;R;MI0002
6;FIBC;2,200;S;CG;MIR003
6;FOL;7,00;F;E;MIR003
6;NIAEQ;2,571;S;S;MI0421
6;VITPYRID;0,08;S;S;MIR005
6;RIBF;0,090;F;E;MIR003
6;THIA;0,0700;F;E;MIR003
6;VITA;81,340;S;R;MI0002
6;VITB12;0;F;E;MIR003
6;VITC;0;F;E;MIR003
6;VITD;0;F;E;MIR003
6;VITE;0,417;S;R;MI0002
6;CA;277,00;F;E;MIR003
6;CU;0,3200;F;E;MIR003
6;FE;1,500;F;E;MIR003
6;ID;35,00;F;E;MIR003
6;K;460,00;F;E;MIR003
6;MG;67,000;F;E;MIR003
6;NA;120,00;F;E;MIR003
6;NT;1,444;S;R;MI0002
6;P;280,0;F;E;MIR003
6;SE;2,000;D;A;MI1006
6;ZN;1,800;F;E;MIR003
6;FACIDCTG;30,252;S;R;MI0002
6;FAPU;0,868;S;R;MI0002
6;FAMCIS;9,7856;S;R;MI0002
6;FASAT;18,2330;S;R;MI0002
6;FATRN;0,0345;S;R;MI0002
6;F18D2CN6;783,991;S;R;MI0002
6;CHOLE;6,10;S;CG;MI1205
7;ENERC;1358,84;S;S;MI0107
7;FAT;11,372;S;R;MI0002
7;CHOAVL;53,280;S;R;MI0002
7;CHOCDF;55,302;S;S;MI0131
7;PROT;3,27;S;R;MI0002
7;ASH;1,200;D;AG;MI1018
7;WATER;30,39;S;S;MI0142
7;SUGAR;52,455;S;R;MI0002
7;LACS;4,277;S;R;MI0002
7;SUCS;43,624;S;R;MI0002
7;STARCH;0,83;S;R;MI0002
7;FIBC;0;S;U;MIR003
7;FOL;7,00;F;E;MIR003
7;NIAEQ;0,931;S;R;MI0002
7;VITPYRID;0,08;S;S;MIR005
7;RIBF;0,260;F;E;MIR003
7;THIA;0,0500;F;E;MIR003
7;VITA;27,200;S;R;MI0002
7;VITB12;0;F;E;MIR003
7;VITC;0;F;E;MIR003
7;VITD;0;F;E;MIR003
7;VITE;0,300;S;R;MI0002
7;CA;127,00;F;E;MIR003
7;CU;0,3200;F;E;MIR003
7;FE;1,900;F;E;MIR003
7;ID;25,00;F;E;MIR003
7;K;240,00;F;E;MIR003
7;MG;50,000;F;E;MIR003
7;NA;117,7;L;P;MIR003
7;NT;0,495;S;R;MI0002
7;P;140,0;F;E;MIR003
7;SE;0,887;S;R;MI0002
7;ZN;1,100;F;E;MIR003
7;FACIDCTG;10,011;S;R;MI0002
7;FAPU;0,306;S;R;MI0002
7;FAMCIS;3,2326;S;R;MI0002
7;FASAT;6,0209;S;R;MI0002
7;FATRN;0,0114;S;R;MI0002
7;F18D2CN6;268,481;S;R;MI0002
7;CHOLE;2,01;S;R;MI0002
8;ENERC;1375,56;S;S;MI0107
8;FAT;0,4;S;CG;MIR003
8;CHOAVL;75,886;S;S;MI0181
8;CHOCDF;77,286;S;S;MI0131
8;PROT;3,50;S;T;MI0123
8;ASH;1,000;F;E;MIR003
8;WATER;17,81;S;S;MI0142
8;SUGAR;45,656;S;S;MI0151
8;LACS;0;S;U;MIR003
8;SUCS;19,428;S;R;MI0002
8;STARCH;25;L;P;MI0161
8;FIBC;1,400;S;CG;MIR003
8;FOL;0;F;E;MIR003
8;NIAEQ;0,768;S;S;MI0421
8;VITPYRID;0;S;S;MIR005
8;RIBF;0;F;E;MIR003
8;THIA;0;F;E;MIR003
8;VITA;0;S;S;MI0324
8;VITB12;0;F;E;MIR003
8;VITC;0;F;E;MIR003
8;VITD;0;F;E;MIR003
8;VITE;0;S;S;MI0368
8;CA;73,00;F;E;MIR003
8;CU;0,1900;F;E;MIR003
8;FE;1,513;S;R;MI0002
8;ID;9,00;F;E;MIR003
8;K;150,00;F;E;MIR003
8;MG;45,000;F;E;MIR003
8;NA;165;L;P;MIR003
8;NT;0,56;L;P;MI1039
8;P;30,0;F;E;MIR003
8;SE;1,000;D;AG;MI1006
8;ZN;0,300;F;E;MIR003
8;FACIDCTG;0;S;S;MIR005
8;FAPU;0;S;S;MI0213
8;FAMCIS;0;S;S;MI0210
8;FASAT;0;S;S;MI0209
8;FATRN;0;S;S;MIR006
8;F18D2CN6;0;S;U;MIR003
8;CHOLE;0;S;U;MIR007
9;ENERC;1294,80;S;S;MI0107
9;FAT;0,1;L;P;MIR003
9;CHOAVL;75,000;S;S;MI0181
9;CHOCDF;77,600;S;S;MIR004
9;PROT;0,10;S;S;MI0123
9;ASH;0,200;D;AG;MI1018
9;WATER;22,00;F;E;MIR003
9;SUGAR;60,000;S;S;MI0151
9;LACS;0;S;U;MIR003
9;SUCS;43,9;S;I;MIR003
9;STARCH;15;L;P;MIR003
9;FIBC;1,8;L;CG;MIR003
9;FOL;0;F;E;MIR003
9;NIAEQ;0,151;S;S;MIR003
9;VITPYRID;0;S;S;MIR005
9;RIBF;0,010;F;E;MIR003
9;THIA;0;F;E;MIR003
9;VITA;0,82;S;S;MI0324
9;VITB12;0;F;E;MIR003
9;VITC;1,00;F;E;MIR003
9;VITD;0;F;E;MIR003
9;VITE;0,297;S;S;MI0368
9;CA;9,00;F;E;MIR003
9;CU;0,0600;F;E;MIR003
9;FE;0,300;F;E;MIR003
9;ID;4,00;F;E;MIR003
9;K;20,00;F;E;MIR003
9;MG;2,000;F;E;MIR003
9;NA;72,00;F;E;MIR003
9;NT;0,016;S;K;MIR002
9;P;7,0;F;E;MIR003
9;SE;0,510;S;R;MI0002
9;ZN;0,100;F;E;MIR003
9;FACIDCTG;0;S;T;MIR005
9;FAPU;0;F;E;MIR003
9;FAMCIS;0;F;E;MIR003
9;FASAT;0;F;E;MIR003
9;FATRN;0;S;R;MI0002
9;F18D2CN6;0;S;IG;MIR003
9;CHOLE;0;S;U;MIR007
10;ENERC;2033,21;S;S;MI0107
10;FAT;26,9;S;CG;MIR003
10;CHOAVL;47,600;S;S;MI0181
10;CHOCDF;49,684;S;S;MI0131
10;PROT;12,61;S;T;MI0123
10;ASH;1,635;S;R;MI0002
10;WATER;9,18;S;S;MI0142
10;SUGAR;42,200;S;S;MI0151
10;LACS;0;S;U;MIR003
10;SUCS;40,000;S;IG;MIR003
10;STARCH;5,40;S;IG;MIR003
10;FIBC;1,800;S;CG;MIR003
10;FOL;60,00;F;E;MIR003
10;NIAEQ;3,584;S;S;MI0421
10;VITPYRID;0,03;S;R;MI0002
10;RIBF;0,360;F;E;MIR003
10;THIA;0,1100;F;E;MIR003
10;VITA;0,13;S;S;MI0324
10;VITB12;0;F;E;MIR003
10;VITC;0;F;E;MIR003
10;VITD;0;F;E;MIR003
10;VITE;13,855;S;S;MI0368
10;CA;140;S;IG;MIR003
10;CU;0;F;E;MIR003
10;FE;2,5;S;IG;MIR003
10;ID;0;F;E;MIR003
10;K;300;S;IG;MIR003
10;MG;140;S;IG;MIR003
10;NA;50,00;F;E;MIR003
10;NT;2,017;S;CG;MI1039
